City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hammerfest,70.6634,23.6821,-1.75,86,100,3.09,NO,1713914889
83,sunne,59.8376,13.143,3.23,84,86,1.39,SE,1713914890
84,mahina,-17.5065,-149.489,30.87,74,4,6.69,PF,1713914890
85,yei,4.095,30.6779,22.36,78,43,2.37,SS,1713914892
86,antsiranana,-12.2787,49.2917,25.73,81,74,6.26,MG,1713914892
87,yudong,29.385,106.5194,19.72,97,100,1.92,CN,1713914894
88,peace river,56.2501,-117.286,17.17,18,40,5.66,CA,1713914655
89,tiksi,71.6872,128.8694,-10.06,86,100,4.84,RU,1713914895
90,ancud,-41.8697,-73.8203,10.41,82,99,2.36,CL,1713914895
91,lame,10.4415,9.2396,29.25,30,95,1.81,NG,1713914896
92,touros,-5.1989,-35.4608,25.92,90,100,4.56,BR,1713914896
93,west island,-12.1568,96.8225,27.99,83,75,6.69,CC,1713914896
94,crane,31.3974,-102.3501,31.53,22,4,9.91,US,1713914897
95,badger,64.8,-147.5333,12.14,36,40,2.57,US,1713914897
96,toyota,35.0833,137.15,15.86,91,100,6.24,JP,1713914897
97,invercargill,-46.4,168.35,16.68,78,100,0.89,NZ,1713914898
98,mili,6.0815,171.735,28.32,82,100,7.46,MH,1713914898
99,hawaiian paradise park,19.5933,-154.9731,25.73,80,40,5.66,US,1713914898
100,port mathurin,-19.6833,63.4167,26.98,76,25,6.99,MU,1713914783
101,oarai,36.3167,140.6,16.19,74,100,5.21,JP,1713914899
102,keflavik,64.0049,-22.5624,7.95,100,100,1.03,IS,1713914899
103,cabo san lucas,22.8909,-109.9124,31.45,44,0,5.14,MX,1713914609
104,port alfred,-33.5906,26.891,20.67,90,97,4.7,ZA,1713914902
105,chilaw,7.5758,79.7953,27.01,73,85,4.93,LK,1713914902
106,illizi,26.4833,8.4667,21.89,25,49,1.81,DZ,1713914903
107,sterling,39.0062,-77.4286,21.43,31,0,5.66,US,1713914898
108,susuman,62.7833,148.1667,-5.01,91,85,1.34,RU,1713914905
109,callaway,30.153,-85.5699,22.03,61,0,5.14,US,1713914906
110,dudinka,69.4058,86.1778,-10.74,87,65,6.26,RU,1713914910
111,galesong,-5.3166,119.3661,25.01,82,94,1.51,ID,1713914916
112,blagoveshchenka,52.8333,79.8667,0.46,61,3,3.63,RU,1713914917
113,luba,3.4568,8.5547,28.1,82,100,2.93,GQ,1713914918
114,gadzhiyevo,69.2551,33.3362,0.91,94,65,5.91,RU,1713914665
115,moree,-29.4667,149.85,19.93,62,100,2.67,AU,1713914922
116,tofol,5.3248,163.0078,29.88,79,75,3.6,FM,1713914926
117,bredasdorp,-34.5322,20.0403,15.74,96,100,0.57,ZA,1713914926
118,qarqaraly,49.4058,75.4742,5.15,64,8,1.3,KZ,1713914927
119,hamilton,39.1834,-84.5333,18.73,55,100,4.47,US,1713914930
120,walvis bay,-22.9575,14.5053,14.53,94,17,2.57,NA,1713914935
121,ceeldheer,3.8488,47.1806,28.38,80,50,4.58,SO,1713914936
122,ar ruways,24.1103,52.7306,24.74,60,0,4.9,AE,1713914936
123,lompoc,34.6391,-120.4579,18.8,62,0,5.14,US,1713914937
124,tazovsky,67.4667,78.7,-16.02,97,42,4.47,RU,1713914938
125,katsuura,35.1333,140.3,16.01,86,100,7.14,JP,1713914938
126,thompson,55.7435,-97.8558,1.09,27,20,1.54,CA,1713914941
127,kungur,57.4368,56.9593,3.48,81,51,8.81,RU,1713914943
